tsne_1,tsne_2,cluster_gmm,pivote3,pivote5,pivote10,pivote15,estado_oculto
1.67328544193879e-05,-6.79949835102889e-06,0,0.0000,0.0000,0.5000,0.5333,0
4.20881042373367e-05,1.4347952856042e-05,0,0.0000,0.2000,0.6000,0.5333,0
2.04980588023318e-05,9.61972818913637e-06,0,0.0000,0.4000,0.7000,0.5333,0
1.98449670278933e-05,3.21351617458276e-05,0,0.3333,0.6000,0.8000,0.6000,0
4.01299985242076e-06,2.03352683456615e-05,0,0.6667,0.8000,0.8000,0.6667,0
2.41339093918214e-05,3.8985803257674e-05,0,1.0000,1.0000,0.8000,0.6667,0
-9.90343869489152e-06,1.26311924759648e-05,0,1.0000,1.0000,0.7000,0.6000,0
7.85461907071294e-06,3.76162315660622e-05,0,1.0000,1.0000,0.6000,0.5333,0
3.14487369905692e-05,-4.13361749451724e-06,0,1.0000,1.0000,0.6000,0.4667,0
1.08226604424999e-05,1.99320256797364e-05,0,1.0000,0.8000,0.6000,0.4667,0
3.31470728269778e-05,0.000115131348138675,0,1.0000,0.6000,0.5000,0.4000,0
5.30471061210847e-06,6.36175827821717e-05,0,0.6667,0.4000,0.4000,0.3333,0
-5.16547734150663e-05,6.79630829836242e-05,0,0.3333,0.2000,0.3000,0.2667,0
