tsne_1,tsne_2,cluster_gmm,pivote3,pivote5,pivote10,pivote15
-8.5313331510406e-05,5.6974637118401e-05,2,0.6667,0.6000,0.5000,0.4667
-8.53036617627367e-05,7.80818227212876e-05,2,0.6667,0.6000,0.4000,0.4000
-6.29602145636454e-05,2.95916615868919e-05,2,0.6667,0.6000,0.5000,0.4000
-4.29809661000036e-05,6.88525178702548e-05,2,0.6667,0.6000,0.4000,0.4000
-3.02481766993878e-05,6.23810847173445e-05,2,0.3333,0.4000,0.3000,0.3333
-4.29809661000036e-05,6.88525178702548e-05,2,0.6667,0.4000,0.4000,0.3333
-1.68954902619589e-05,3.64885891031008e-05,2,0.3333,0.2000,0.3000,0.2667
-4.16270086134318e-06,3.00171577691799e-05,2,0.3333,0.4000,0.3000,0.2667
7.01712924637832e-05,-3.81414502044208e-05,2,0.0000,0.2000,0.3000,0.2000
7.01712924637832e-05,-3.81414502044208e-05,2,0.3333,0.2000,0.3000,0.2000
2.58790660154773e-05,1.89228230738081e-05,2,0.3333,0.4000,0.3000,0.2000
7.35198555048555e-05,-2.27057062147651e-05,2,0.3333,0.4000,0.3000,0.2000
7.35198555048555e-05,-2.27057062147651e-05,2,0.3333,0.2000,0.2000,0.1333
2.5786976038944e-05,-3.41239683621097e-05,2,0.3333,0.4000,0.2000,0.1333
3.9607984945178e-05,-7.41492185625248e-05,2,0.3333,0.4000,0.2000,0.1333
0.000114881622721441,-6.33222080068663e-05,2,0.3333,0.2000,0.1000,0.0667
8.06028183433227e-05,-9.93073190329596e-05,2,0.3333,0.2000,0.1000,0.1333
-5.09432720718905e-05,-6.42060103928088e-06,2,0.3333,0.2000,0.1000,0.2000
-0.000101108431408647,2.04770753953198e-06,2,0.0000,0.0000,0.0000,0.2000
3.95831448258832e-05,-6.2488456023857e-05,2,0.0000,0.0000,0.0000,0.2000
5.64213951292913e-05,-5.68414470762946e-05,2,0.0000,0.0000,0.0000,0.2667
-2.22514299821341e-05,-2.38487991737202e-05,2,0.0000,0.0000,0.1000,0.3333
-2.22514299821341e-05,-2.38487991737202e-05,2,0.0000,0.0000,0.2000,0.3333
1.46128541018697e-05,-2.55059258051915e-05,2,0.0000,0.0000,0.3000,0.3333
-3.47182394762058e-05,-3.69634217349812e-05,2,0.0000,0.0000,0.3000,0.3333
-8.0385259934701e-05,-7.12922046659514e-05,2,0.0000,0.0000,0.4000,0.3333
-3.47182394762058e-05,-3.69634217349812e-05,2,0.0000,0.2000,0.5000,0.4000
4.75481283501722e-05,-6.02681720920373e-05,2,0.0000,0.4000,0.5000,0.4000
3.01683735415281e-06,4.55508888990153e-05,2,0.3333,0.6000,0.5000,0.4000
3.86341453122441e-05,1.77367801370565e-05,2,0.6667,0.6000,0.5000,0.4000
4.0392144001089e-05,-2.12794820981799e-05,2,1.0000,0.8000,0.5000,0.4000
-1.98821344383759e-05,2.28070639423095e-05,2,0.6667,0.8000,0.5000,0.3333
